Date,Price,Open,High,Low,Vol.,Change %
02-01-2023,82.745,82.67,82.8,82.56,,0.03%
03-01-2023,82.774,82.698,83.038,82.654,,0.04%
04-01-2023,82.641,82.779,82.919,82.667,,-0.16%
05-01-2023,82.568,82.74,82.808,82.426,,-0.09%
06-01-2023,82.27,82.604,82.785,82.275,,-0.36%
09-01-2023,82.17,82.234,82.454,82.095,,-0.12%
10-01-2023,81.602,82.185,82.317,81.604,,-0.69%
11-01-2023,81.637,81.625,81.83,81.496,,0.04%
12-01-2023,81.1,81.657,81.754,81.11,,-0.66%
13-01-2023,81.28,81.115,81.522,81.115,,0.22%
16-01-2023,81.628,81.227,81.749,81.197,,0.43%
17-01-2023,81.63,81.71,81.889,81.547,,0.00%
18-01-2023,81.44,81.675,81.829,81.163,,-0.23%
19-01-2023,81.24,81.44,81.455,81.207,,-0.25%
20-01-2023,80.979,81.281,81.31,80.973,,-0.32%
23-01-2023,81.478,80.933,81.509,80.874,,0.62%
24-01-2023,81.594,81.488,81.77,81.41,,0.14%
25-01-2023,81.491,81.602,81.78,81.477,,-0.13%
26-01-2023,81.418,81.531,81.578,81.355,,-0.09%
27-01-2023,81.51,81.509,81.679,81.473,,0.11%
30-01-2023,81.52,81.548,81.725,81.461,,0.01%
31-01-2023,81.739,81.599,82.079,81.55,,0.27%
01-02-2023,81.73,81.765,82.041,81.676,,-0.01%
02-02-2023,82.039,81.698,82.272,81.685,,0.38%
03-02-2023,82.206,82.044,82.326,81.745,,0.20%
06-02-2023,82.74,82.388,82.85,82.316,,0.65%
07-02-2023,82.86,82.755,82.906,82.618,,0.15%
08-02-2023,82.65,82.734,82.761,82.472,,-0.25%
09-02-2023,82.511,82.656,82.679,82.402,,-0.17%
10-02-2023,82.51,82.535,82.644,82.33,,0.00%
13-02-2023,82.592,82.582,82.788,82.577,,0.10%
14-02-2023,82.91,82.597,83.047,82.565,,0.39%
15-02-2023,82.75,82.842,82.972,82.765,,-0.19%
16-02-2023,82.71,82.719,82.845,82.59,,-0.05%
17-02-2023,82.75,82.703,82.872,82.703,,0.05%
20-02-2023,82.693,82.72,82.763,82.604,,-0.07%
21-02-2023,82.844,82.691,82.892,82.68,,0.18%
22-02-2023,82.83,82.844,82.937,82.776,,-0.02%
23-02-2023,82.59,82.799,82.835,82.562,,-0.29%
24-02-2023,82.897,82.643,83.026,82.628,,0.37%
27-02-2023,82.642,82.871,82.951,82.627,,-0.31%
28-02-2023,82.64,82.69,82.761,82.554,,0.00%
01-03-2023,82.43,82.588,82.634,82.365,,-0.25%
02-03-2023,82.35,82.425,82.628,82.355,,-0.10%
03-03-2023,81.68,82.348,82.407,81.685,,-0.81%
06-03-2023,81.81,81.778,81.973,81.61,,0.16%
07-03-2023,82,81.852,82.025,81.725,,0.23%
08-03-2023,81.95,82.037,82.298,81.859,,-0.06%
09-03-2023,82.02,81.967,82.088,81.763,,0.09%
10-03-2023,81.96,82.037,82.21,81.843,,-0.07%
13-03-2023,82.235,81.677,82.312,81.677,,0.34%
14-03-2023,82.245,82.299,82.579,82.235,,0.01%
15-03-2023,82.88,82.28,82.92,82.211,,0.77%
16-03-2023,82.62,82.773,82.851,82.592,,-0.31%
17-03-2023,82.52,82.615,82.701,82.419,,-0.12%
20-03-2023,82.51,82.495,82.727,82.452,,-0.01%
21-03-2023,82.677,82.516,82.733,82.516,,0.20%
22-03-2023,82.505,82.677,82.742,82.395,,-0.21%
23-03-2023,82.236,82.524,82.542,82.053,,-0.33%
24-03-2023,82.334,82.265,82.524,82.195,,0.12%
27-03-2023,82.18,82.374,82.441,82.2,,-0.19%
28-03-2023,82.172,82.195,82.29,82.113,,-0.01%
29-03-2023,82.178,82.164,82.39,82.164,,0.01%
30-03-2023,82.08,82.238,82.286,82.03,,-0.12%
31-03-2023,82.16,82.088,82.282,82.044,,0.10%
03-04-2023,82.19,82.391,82.484,82.19,,0.04%
04-04-2023,82.09,82.219,82.279,82.077,,-0.12%
05-04-2023,81.92,82.123,82.217,81.843,,-0.21%
06-04-2023,81.82,81.953,82.059,81.81,,-0.12%
07-04-2023,81.86,81.832,81.91,81.79,,0.05%
10-04-2023,81.965,81.844,82.045,81.761,,0.13%
11-04-2023,82.04,81.966,82.16,81.927,,0.09%
12-04-2023,81.93,82.088,82.126,81.93,,-0.13%
13-04-2023,81.65,82.008,82.027,81.628,,-0.34%
14-04-2023,81.82,81.701,81.93,81.547,,0.21%
17-04-2023,81.98,81.915,82.096,81.859,,0.20%
18-04-2023,82.08,81.995,82.115,81.948,,0.12%
19-04-2023,82.265,82.098,82.288,82.057,,0.23%
20-04-2023,82.12,82.308,82.355,82.05,,-0.18%
21-04-2023,82.03,82.14,82.22,82.008,,-0.11%
24-04-2023,81.95,82.095,82.115,81.865,,-0.10%
25-04-2023,81.965,81.871,82.043,81.852,,0.02%
26-04-2023,81.74,82.004,82.026,81.679,,-0.27%
27-04-2023,81.695,81.732,81.864,81.594,,-0.06%
28-04-2023,81.72,81.72,81.87,81.706,,0.03%
01-05-2023,81.77,81.795,81.814,81.715,,0.06%
02-05-2023,81.75,81.795,81.961,81.715,,-0.02%
03-05-2023,81.755,81.788,81.872,81.67,,0.01%
04-05-2023,81.71,81.762,81.829,81.652,,-0.06%
05-05-2023,81.7,81.718,81.827,81.652,,-0.01%
08-05-2023,81.77,81.711,81.836,81.659,,0.09%
09-05-2023,82.1,81.787,82.162,81.771,,0.40%
10-05-2023,81.9,82.105,82.114,81.875,,-0.24%
11-05-2023,82.09,81.926,82.195,81.901,,0.23%
12-05-2023,82.173,82.12,82.244,82.095,,0.10%
15-05-2023,82.237,82.244,82.388,82.182,,0.08%
16-05-2023,82.264,82.239,82.317,82.16,,0.03%
